episode,speaker,content,addressee
"Friendship is Magic, part 1",Narrator,"Once upon a time, in the magical land of Equestria, there were two regal sisters who ruled together and created harmony for all the land. To do this, the eldest used her unicorn powers to raise the sun at dawn; the younger brought out the moon to begin the night. Thus, the two sisters maintained balance for their kingdom and their subjects, all the different types of ponies. But as time went on, the younger sister became resentful. The ponies relished and played in the day her elder sister brought forth, but shunned and slept through her beautiful night. One fateful day, the younger unicorn refused to lower the moon to make way for the dawn. The elder sister tried to reason with her, but the bitterness in the young one's heart had transformed her into a wicked mare of darkness: Nightmare Moon.",Narrator
"Friendship is Magic, part 1",Narrator,"She vowed that she would shroud the land in eternal night. Reluctantly, the elder sister harnessed the most powerful magic known to ponydom: the Elements of Harmony. Using the magic of the Elements of Harmony, she defeated her younger sister, and banished her permanently in the moon. The elder sister took on responsibility for both...",Narrator and Twilight Sparkle
"Friendship is Magic, part 1",Narrator and Twilight Sparkle,...sun and moon...,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,...and harmony has been maintained in Equestria for generations since. Hmm... Elements of Harmony. I know I've heard of those before... but where?,Twinkleshine
"Friendship is Magic, part 1",Twinkleshine,"There you are, Twilight! Moon Dancer is having a little get-together in the west castle courtyard. You wanna come?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Oh, sorry, girls... I've got a lot of studying to catch up on.",Twinkleshine
"Friendship is Magic, part 1",Twinkleshine,Does that pony do anything except study? I think she's more interested in books than friends.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,I know I've heard of the Elements of Harmony.,Spike
"Friendship is Magic, part 1",Spike,Ow!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Spike! Spi-ike! Spike?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"There you are. Quick, find me that old copy of Predictions and Prophecies. What's that for?",Spike
"Friendship is Magic, part 1",Spike,"Well, it was a gift for Moon Dancer, but...",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Oh Spike, you know we don't have time for that sort of thing.",Spike
"Friendship is Magic, part 1",Spike,But we're on a break!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"No, no, no... no, no, no! Spike!",Spike
"Friendship is Magic, part 1",Spike,It's over here!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Ah! Elements, Elements, E, E, E... Aha! Elements of Harmony, see: Mare in the Moon?",Spike
"Friendship is Magic, part 1",Spike,Mare in the Moon? But that's just an old ponies' tale.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Mare, mare... aha! The Mare in the Moon, myth from olden pony times. A powerful pony who wanted to rule Equestria, defeated by the Elements of Harmony and imprisoned in the moon. Legend has it that on the longest day of the thousandth year, the stars will aid in her escape, and she will bring about nighttime eternal! Spike! Do you know what this means?",Spike
"Friendship is Magic, part 1",Spike,No<U+0097> whoa!,Spike
"Friendship is Magic, part 1",Spike,Ow!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Take a note please, to the Princess.",Spike
"Friendship is Magic, part 1",Spike,Okie dokie.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"My dearest teacher, my continuing studies of pony magic have led me to discover that we are on the precipice of disaster!",Spike
"Friendship is Magic, part 1",Spike,Hold on. Preci... preci...,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Threshold.,Spike
"Friendship is Magic, part 1",Spike,Threh...,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Uh, brink? Ugh, that something really bad is about to happen! For you see, the mythical Mare in the Moon is in fact Nightmare Moon, and she's about to return to Equestria, and bring with her eternal night! Something must be done to make sure this terrible prophecy does not come true. I await your quick response. Your faithful student, Twilight Sparkle.",Spike
"Friendship is Magic, part 1",Spike,Twi... light Spar... kle. Got it!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Great! Send it.,Spike
"Friendship is Magic, part 1",Spike,Now?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Of course!,Spike
"Friendship is Magic, part 1",Spike,"Uh, I dunno, Twilight, Princess Celestia's a little busy getting ready for the Summer Sun Celebration. And it's like, the day after tomorrow.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"That's just it, Spike. The day after tomorrow is the thousandth year of the Summer Sun Celebration! It's imperative that the Princess is told right away!",Spike
"Friendship is Magic, part 1",Spike,Impera... impera...,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Important!,Spike
"Friendship is Magic, part 1",Spike,Whoa!,Spike
"Friendship is Magic, part 1",Spike,"Okay, okay! There, it's on its way. But I wouldn't hold your breath...",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Oh, I'm not worried, Spike. The Princess trusts me completely. In all the years she's been my mentor she's never once doubted me.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,See? I knew she would want to take immediate action.,Spike
"Friendship is Magic, part 1",Spike,"My dearest, most faithful student Twilight. You know that I value your diligence and that I trust you completely.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Mm-hm!,Spike
"Friendship is Magic, part 1",Spike,...but you simply must stop reading those dusty old books!,Spike
"Friendship is Magic, part 1",Spike,"My dear Twilight, there is more to a young pony's life than studying, so I'm sending you to supervise the preparations for the Summer Sun Celebration in this year's location: Ponyville. And, I have an even more essential task for you to complete: make some friends!",Spike
"Friendship is Magic, part 1",Spike,"Look on the bright side, Twilight. The Princess arranged for you to stay in a library. Doesn't that make you happy?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Yes, yes it does. You know why? Because I'm right! I'll check on the preparations as fast as I can, then get to the library to find some proof of Nightmare Moon's return.",Spike
"Friendship is Magic, part 1",Spike,"Then... when will you make friends, like the Princess said?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"She said to check on preparations. I am her student, and I'll do my royal duty, but the fate of Equestria does not rest on me making friends.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Thank you, sirs.",Spike
"Friendship is Magic, part 1",Spike,"Maybe the ponies in Ponyville have interesting things to talk about. Come on, Twilight, just try!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Um... hello?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Well, that was interesting all right.",Spike
"Friendship is Magic, part 1",Spike,"Summer Sun Celebration official overseer's checklist. Number one, banquet preparations: Sweet Apple Acres.",Applejack
"Friendship is Magic, part 1",Applejack,Yeehaw!,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Let's get this over with... Good afternoon. My name is Twilight Sparkle<U+0097>,Applejack
"Friendship is Magic, part 1",Applejack,"Well, howdy-doo, Miss Twilight, a pleasure makin' your acquaintance. I'm Applejack. We here at Sweet Apple Acres sure do like makin' new friends!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Friends? Actually, I<U+0097>",Applejack
"Friendship is Magic, part 1",Applejack,"So, what can I do you for?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Well, I am in fact here to supervise preparations for the Summer Sun Celebration. And you're in charge of the food?",Applejack
"Friendship is Magic, part 1",Applejack,We sure as sugar are! Would you care to sample some?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,As long as it doesn't take too long...,Applejack
"Friendship is Magic, part 1",Applejack,"Soup's on, everypony!",Applejack
"Friendship is Magic, part 1",Applejack,"Now, why don't I introduce y'all to the Apple family?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Thanks, but I really need to hurry<U+0097>",Applejack
"Friendship is Magic, part 1",Applejack,"This here's Apple Fritter. Apple Bumpkin. Red Gala. Red Delicious, Golden Delicious, Caramel Apple, Apple Strudel, Apple Tart, Baked Apples, Apple Brioche, Apple Cinnamon Crisp... Big McIntosh, Apple Bloom and Granny Smith. Up'n'attem, Granny Smith, we got guests.",Granny Smith
"Friendship is Magic, part 1",Granny Smith,"Wha..? Soup's on? I'm up, here I come, ahm comin'...",Applejack
"Friendship is Magic, part 1",Applejack,"Why, I'd say you're already part of the family!",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Okay, well, I can see the food situation is handled, so we'll be on our way.",Apple Bloom
"Friendship is Magic, part 1",Apple Bloom,Aren't you gonna stay for brunch?,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Sorry, but we have an awful lot to do...",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,...fine.,Spike
"Friendship is Magic, part 1",Spike,"Food's all taken care of, next is weather.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Ugh... I ate too much pie...,Spike
"Friendship is Magic, part 1",Spike,"Hmm, there's supposed to be a Pegasus pony named Rainbow Dash clearing the clouds.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"Well, she's not doing a very good job, is she?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Nng.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Nnnn.,Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,Lemme help you.,Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Let me guess. You're Rainbow Dash.,Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,"The one and only. Why, you heard of me?",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,"I heard you were supposed to be keeping the sky clear. I'm Twilight Sparkle, and the Princess sent me to check on the weather.",Rainbow Dash
"Friendship is Magic, part 1",Rainbow Dash,"Yeah, yeah, that'll be a snap. I'll do it in a jiffy. Just as soon as I'm done practicing.",Twilight Sparkle
"Friendship is Magic, part 1",Twilight Sparkle,Practicing for what?,Rainbow Dash
